"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-54.58","48.95","GANDER INT'L A","8401700","1937-01","1937","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-02","1937","02","","M","-10.6","","","M","","M","-22.8","","19.8","","62.2","","82.0","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-03","1937","03","-0.2","","-9.6","","-4.9","","6.1","","-18.9","","23.1","","107.2","","130.3","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-04","1937","04","2.9","","-4.5","","-0.8","","11.1","","-11.7","","41.4","","18.5","","59.9","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-05","1937","05","16.1","","2.8","","9.5","","23.3","","-5.0","","82.3","","0.0","T","82.3","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-06","1937","06","19.6","","9.1","","14.4","","30.6","","2.2","","60.2","","0.0","","60.2","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-07","1937","07","23.2","","11.6","","17.4","","29.4","","2.2","","40.4","","0.0","","40.4","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-08","1937","08","23.1","","11.6","","17.4","","31.7","","-1.1","","71.4","","0.0","","71.4","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-09","1937","09","19.2","","9.2","","14.2","","27.2","","-0.6","","74.9","","0.0","","74.9","","","","","","",""
"-54.58","48.95","GANDER INT'L A","8401700","1937-10","1937","10","11.4","","2.4","","6.9","","20.6","","-2.8","","71.6","","4.1","","75.7","","","","","","",""
