"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA INT'L A","4016560","1883-01","1883","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-02","1883","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-03","1883","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-04","1883","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-05","1883","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-06","1883","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-07","1883","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-08","1883","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-09","1883","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-10","1883","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-11","1883","11","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1883-12","1883","12","-10.7","","-24.0","","-17.4","","5.6","","-42.8","","0.0","","6.6","","6.6","","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1884-01","1884","01","-14.5","","-27.6","","-21.1","","2.2","","-43.9","","0.0","","8.4","","8.4","","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1884-02","1884","02","-18.2","","-29.8","","-24.0","","3.3","","-45.0","","0.0","","4.6","","4.6","","","","","","",""
"-104.67","50.43","REGINA INT'L A","4016560","1884-03","1884","03","-6.8","","-18.7","","-12.8","","3.3","","-33.9","","0.0","","7.6","","7.6","","","","","","",""
