"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-01","1938","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-02","1938","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-03","1938","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-04","1938","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-05","1938","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-06","1938","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-07","1938","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-08","1938","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-09","1938","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-10","1938","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-11","1938","11","7.4","","-4.1","","1.7","","23.9","","-16.1","","30.2","","10.9","","41.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1938-12","1938","12","-2.3","","-10.4","","-6.4","","7.2","","-23.9","","20.6","","47.5","","68.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-01","1939","01","-5.0","","-16.7","","-10.9","","6.7","","-30.6","","5.3","","60.5","","65.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-02","1939","02","-4.6","","-17.8","","-11.2","","5.0","","-28.9","","6.9","","57.2","","64.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-03","1939","03","-1.8","","-11.7","","-6.8","","6.7","","-23.9","","3.0","","39.6","","42.7","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-04","1939","04","5.5","","-2.1","","1.7","","16.7","","-11.1","","28.4","","26.4","","54.9","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-05","1939","05","19.1","","6.3","","12.7","","30.6","","-1.7","","53.8","","0.0","","53.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-06","1939","06","23.7","","11.9","","17.8","","30.0","","6.1","","68.6","","0.0","","68.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-07","1939","07","26.4","","14.4","","20.4","","33.3","S","7.8","","135.1","","0.0","","135.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-08","1939","08","26.9","","14.8","","20.9","","31.7","","10.0","","45.0","","0.0","","45.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-09","1939","09","19.6","","8.0","","13.8","","34.4","","-0.6","","65.8","","0.0","","65.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-10","1939","10","12.2","","2.0","","7.1","","22.2","","-7.8","","68.6","","0.0","T","68.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-11","1939","11","3.7","","-5.8","","-1.1","","13.3","","-12.2","","19.1","","7.9","","26.9","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1939-12","1939","12","-3.4","","-10.4","","-6.9","","7.8","","-23.3","","28.4","","64.5","","93.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-01","1940","01","-10.0","","-18.9","","-14.5","","3.3","","-27.8","","0.0","T","23.6","","23.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-02","1940","02","-5.2","","-16.1","","-10.7","","3.3","","-25.6","","0.0","","37.1","","37.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-03","1940","03","-2.7","","-11.9","","-7.3","","6.7","","-22.8","","1.3","","71.4","","72.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-04","1940","04","7.2","","-1.7","","2.8","","23.3","","-8.9","","68.8","","11.2","","80.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-05","1940","05","18.5","","7.9","","13.2","","26.7","","-1.7","","108.2","","0.0","","108.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-06","1940","06","22.5","","11.9","","17.2","","30.6","","3.3","","77.2","","0.0","","77.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-07","1940","07","26.1","","14.4","","20.3","","31.7","","6.7","","56.1","","0.0","","56.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-08","1940","08","25.7","","13.5","","19.6","","32.2","","5.0","S","27.7","","0.0","","27.7","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-09","1940","09","20.9","","9.1","","15.0","","26.1","","-0.6","","34.8","","0.0","","34.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-10","1940","10","11.6","","1.5","","6.6","","21.7","","-7.2","","48.5","","2.5","","51.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-11","1940","11","3.7","","-4.0","","-0.2","","15.6","","-21.7","","47.2","","43.2","","90.4","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1940-12","1940","12","-3.2","","-13.0","","-8.1","","4.4","","-28.9","","57.9","","37.8","","95.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-01","1941","01","-8.3","","-17.7","","-13.0","","2.8","","-28.9","","0.0","T","65.3","","65.3","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-02","1941","02","-5.2","","-14.7","","-10.0","","2.8","","-26.1","","2.5","","52.6","","55.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-03","1941","03","-1.1","","-12.2","","-6.7","","5.0","S","-23.3","","1.3","","47.0","","48.3","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-04","1941","04","15.1","","1.9","","8.5","","28.3","","-8.9","","20.8","","0.0","","20.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-05","1941","05","20.4","","6.7","","13.6","","31.7","","-0.6","","66.5","","0.0","","66.5","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-06","1941","06","26.6","","13.2","","19.9","","36.1","","6.1","","36.3","","0.0","","36.3","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-07","1941","07","27.8","","15.4","","21.6","","34.4","","10.6","S","91.2","","0.0","","91.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-08","1941","08","23.9","","11.9","","17.9","","32.2","","4.4","","60.5","","0.0","","60.5","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-09","1941","09","22.0","","8.8","","15.4","","30.6","S","0.0","S","20.8","","0.0","","20.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-10","1941","10","12.7","","2.9","","7.8","","27.2","","-7.2","","136.9","","0.0","","136.9","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-11","1941","11","4.9","","-2.2","","1.4","","18.9","","-11.1","","62.7","","14.2","","77.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1941-12","1941","12","-3.0","","-10.6","","-6.8","","11.7","","-25.0","","62.2","","52.8","","115.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-01","1942","01","-5.4","","-16.2","","-10.8","","4.4","","-28.9","","18.8","","48.0","","66.8","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-02","1942","02","-6.1","","-13.7","","-9.9","","5.0","","-28.3","","4.8","","45.2","","50.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-03","1942","03","3.3","","-3.5","","-0.1","","12.2","","-11.1","","41.9","","25.1","","67.1","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-04","1942","04","13.8","","2.4","","8.1","","29.4","","-2.8","","36.6","","8.9","","45.5","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-05","1942","05","19.7","","8.8","","14.3","","30.0","","0.0","","74.2","","0.0","","74.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-06","1942","06","24.6","","13.0","","18.8","","33.3","S","6.7","","57.7","","0.0","","57.7","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-07","1942","07","25.7","","14.6","","20.2","","36.1","","5.6","","63.2","","0.0","","63.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-08","1942","08","25.0","","13.4","","19.2","","31.7","","2.8","","72.4","","0.0","","72.4","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-09","1942","09","20.7","","9.2","","15.0","","31.1","","-1.7","","156.0","","0.0","","156.0","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-10","1942","10","14.6","","3.8","","9.2","","21.7","","-2.2","","63.2","","0.3","","63.5","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-11","1942","11","4.9","","-3.7","","0.6","","16.7","","-11.1","S","44.2","","19.1","","63.2","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1942-12","1942","12","-6.3","","-14.3","","-10.3","","2.2","","-34.4","","23.6","","108.0","","131.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1943-01","1943","01","-9.6","","-20.2","","-14.9","","1.7","","-31.1","S","5.3","","63.2","","68.6","","","","","","",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1943-02","1943","02","-4.1","","-14.6","","-9.4","","4.4","S","-36.1","","15.7","","51.1","","66.8","","","","","","",""
