"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-01","1937","01","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-02","1937","02","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-03","1937","03","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-04","1937","04","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-05","1937","05","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-06","1937","06","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-07","1937","07","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-08","1937","08","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-09","1937","09","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-10","1937","10","","M","","M","","M","","","","","","M","","M","","M","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-11","1937","11","8.0","","-1.4","","3.3","","","","","","33.8","","0.0","T","33.8","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1937-12","1937","12","0.1","","-8.8","","-4.4","","","","","","7.6","","33.8","","41.4","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-01","1938","01","-2.6","","-11.7","","-7.2","","7.8","","-27.2","","13.5","","26.9","","40.4","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-02","1938","02","0.8","","-8.2","","-3.7","","10.6","","-22.8","","63.2","","13.2","","76.5","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-03","1938","03","7.4","","-4.6","","1.4","","24.4","","-21.1","","35.3","","6.4","","41.7","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-04","1938","04","13.6","","1.6","","7.6","","29.4","","-9.4","","21.8","","11.4","","33.3","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-05","1938","05","18.8","","5.4","","12.1","","24.4","","-1.7","","72.4","","0.0","T","72.4","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-06","1938","06","24.8","","9.8","","17.3","","31.7","S","1.1","","42.2","","0.0","","42.2","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-07","1938","07","28.9","","14.6","","21.8","","36.1","","8.3","S","63.2","","0.0","","63.2","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-08","1938","08","29.7","","15.6","","22.7","","34.4","S","7.8","","37.1","","0.0","","37.1","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-09","1938","09","20.1","","8.2","","14.2","","28.3","","1.7","","102.1","","0.0","","102.1","","","","","","",""
"-79.63","43.68","TORONTO LESTER B. PEARSON INT'L A","6158733","1938-10","1938","10","16.2","","3.6","","9.9","","28.9","","-5.0","S","7.1","","0.0","","7.1","","","","","","",""
