"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.93","43.17","HAMILTON A","6153194","1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-05","1959","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-06","1959","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-08","1959","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-09","1959","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-10","1959","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-11","1959","11","4.6","","-2.9","","0.9","","18.9","","-12.8","","","M","","M","","M","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1959-12","1959","12","1.2","","-5.1","","-2.0","","7.8","S","-20.0","","64.3","","12.4","","76.7","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-01","1960","01","-1.5","","-7.1","","-4.3","","3.3","","-16.1","","24.1","","35.1","","59.2","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-02","1960","02","-1.3","","-7.8","","-4.6","","5.6","","-17.8","","27.4","","40.1","","67.6","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-03","1960","03","-1.8","","-11.4","","-6.6","","9.4","","-20.6","","9.1","","48.3","","57.4","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-04","1960","04","12.2","","2.3","","7.3","","28.3","","-4.4","","94.5","","0.3","","94.7","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-05","1960","05","16.7","","8.7","","12.7","","23.9","S","1.7","","93.0","","0.0","","93.0","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-06","1960","06","22.6","","12.1","","17.4","","28.3","","6.7","S","61.5","","0.0","","61.5","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-07","1960","07","25.6","","13.7","","19.7","","30.0","","7.8","S","119.4","","0.0","","119.4","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-08","1960","08","25.3","","14.8","","20.1","","30.0","","9.4","","90.2","","0.0","","90.2","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-09","1960","09","22.7","","12.2","","17.5","","32.2","","2.8","","8.9","","0.0","","8.9","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-10","1960","10","15.0","","4.0","","9.5","","23.9","","-1.7","","68.3","","0.0","T","68.3","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-11","1960","11","8.4","","1.6","","5.0","","16.1","","-5.6","","28.2","","0.0","T","28.2","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1960-12","1960","12","-1.8","","-8.8","","-5.3","","13.9","","-20.0","S","0.0","T","10.2","","10.2","","","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-01","1961","01","-3.6","","-12.6","","-8.1","","5.6","","-23.9","","0.0","T","9.7","","9.7","","15","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-02","1961","02","1.2","","-7.8","","-3.3","","10.6","","-23.9","","","M","17.8","","","M","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-03","1961","03","4.3","","-3.3","","0.5","","20.0","","-14.4","","","M","","M","","M","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-04","1961","04","7.6","","0.2","","3.9","","18.3","","-4.4","","91.9","","4.6","","96.5","","0","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-05","1961","05","16.9","","4.9","","10.9","","27.2","","-1.1","","","M","","M","","M","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-06","1961","06","","M","11.4","","","M","30.6","","4.4","","66.5","","0.0","","66.5","","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-07","1961","07","26.1","","15.7","","20.9","","30.0","","5.6","","95.8","","0.0","","95.8","","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-08","1961","08","","M","15.2","","","M","","M","7.8","","","M","0.0","","","M","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-09","1961","09","","M","13.7","","","M","","M","2.2","","","M","0.0","","","M","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-10","1961","10","16.8","","6.9","","11.9","","24.4","","-1.7","","16.5","","0.0","","16.5","","","M","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-11","1961","11","8.0","","-0.4","","3.8","","24.4","","-7.2","","42.7","","","M","","M","0","","","","",""
"-79.93","43.17","HAMILTON A","6153194","1961-12","1961","12","0.0","","-6.6","","-3.3","","12.2","","-16.7","","40.4","","7.9","","48.3","","","M","","","",""
