"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-05","1959","05","","M","","M","","M","30.0","","-3.3","","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-06","1959","06","19.9","","7.7","","13.8","","24.4","S","3.3","","66.8","","0.0","","66.8","","0","","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-08","1959","08","","M","","M","","M","27.8","","2.2","","113.3","","0.0","","113.3","","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-09","1959","09","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-10","1959","10","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-11","1959","11","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1959-12","1959","12","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-01","1960","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-02","1960","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-03","1960","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-04","1960","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-05","1960","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-06","1960","06","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-07","1960","07","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-08","1960","08","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-09","1960","09","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-10","1960","10","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-11","1960","11","","M","","M","","M","","M","","M","","M","","M","","M","10","","","","<31",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1960-12","1960","12","-2.3","","-13.2","","-7.8","","7.2","","-28.9","","1.5","","19.6","","22.9","","15","","32","","68","S"
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-01","1961","01","-3.9","","-14.2","","-9.1","","5.0","","-26.7","","0.3","","7.9","","8.1","","10","","34","","77",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-02","1961","02","-4.3","","-13.8","","-9.1","","8.3","","-32.2","","0.0","T","19.6","","17.0","","13","","29","","79",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-03","1961","03","1.6","","-7.0","","-2.7","","12.8","","-24.4","","1.3","","4.8","","4.1","","0","T","32","","87",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-04","1961","04","8.6","","-2.8","","2.9","","17.8","S","-12.8","S","7.1","","14.2","","19.8","","0","","25","","95",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-05","1961","05","18.4","","4.8","","11.6","","30.0","","-3.3","","19.6","","1.3","","21.6","","0","","32","","74",""
"-113.58","53.32","EDMONTON INT'L A","3012205","1961-06","1961","06","25.7","","11.0","","18.4","","34.4","","4.4","","58.2","","0.0","T","58.2","","0","","34","","84",""
