"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-01","1940","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-02","1940","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-03","1940","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-04","1940","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-05","1940","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-06","1940","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-07","1940","07","","M","","M","","M","","M","","M","","M","0.0","","","M","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-08","1940","08","23.4","","11.8","","17.6","","32.2","","9.4","","9.7","","0.0","","9.7","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-09","1940","09","20.9","","10.5","","15.7","","28.9","","5.6","","51.1","","0.0","","51.1","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-10","1940","10","15.6","","8.3","","12.0","","21.7","","1.1","","99.3","","0.0","","99.3","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-11","1940","11","8.4","","1.7","","5.1","","13.3","","-3.9","","90.4","","9.7","","100.1","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1940-12","1940","12","8.8","","2.4","","5.6","","16.1","","-3.9","","130.8","","0.0","","130.8","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-01","1941","01","8.8","","1.9","","5.4","","13.9","","-2.8","","99.3","","0.0","","99.3","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-02","1941","02","10.6","","2.3","","6.5","","13.9","","-1.7","S","59.7","","2.5","","62.2","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-03","1941","03","13.9","","4.0","","9.0","","20.0","","1.1","S","34.3","","0.0","","34.3","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-04","1941","04","16.4","","6.3","","11.4","","23.3","","2.2","","38.6","","0.0","","38.6","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-05","1941","05","17.6","","7.5","","12.6","","25.6","","3.3","","54.4","","0.0","","54.4","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-06","1941","06","20.1","","8.8","","14.5","","28.3","","2.8","","20.6","","0.0","","20.6","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-07","1941","07","24.7","","11.2","","18.0","","36.1","","5.6","","3.6","","0.0","","3.6","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-08","1941","08","22.3","","10.3","","16.3","","28.9","","6.1","","32.0","","0.0","","32.0","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-09","1941","09","17.7","","9.5","","13.6","","22.2","","5.0","","64.3","","0.0","","64.3","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-10","1941","10","15.2","","7.6","","11.4","","18.9","","2.2","","76.2","","0.0","","76.2","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-11","1941","11","11.6","","4.1","","7.9","","17.2","","-1.7","","126.0","","0.0","","126.0","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1941-12","1941","12","7.8","","1.6","","4.7","","15.0","","-3.9","","160.3","","0.0","","160.3","","","","","","",""
"-123.43","48.65","VICTORIA INT'L A","1018620","1942-01","1942","01","7.3","","0.1","","3.7","","12.2","S","-7.2","","22.9","","10.9","","33.8","","","","","","",""
